RANK,INSTNM
1,Carnegie Mellon University
2,Massachusetts Institute of Technology
3,Stanford University
4,University of California-Berkeley
5,University of Illinois Urbana-Champaign
6,Cornell University
7,Georgia Institute of Technology-Main Campus
8,The University of Texas at Austin
9,University of Washington-Seattle Campus
10,Princeton University
11,University of Michigan-Ann Arbor
12,Columbia University in the City of New York
13,California Institute of Technology
14,University of California-Los Angeles
15,University of California-San Diego
16,University of Wisconsin-Madison
17,Harvard University
18,University of Maryland-College Park
19,Purdue University-Main Campus
20,University of Pennsylvania